epoch,loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss,val_loss,val_rpn_class_loss,val_rpn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_bbox_loss,val_mrcnn_mask_loss
1,0.9566,0.0061,0.2591,0.0884,0.3235,0.2796,0.698,0.0051,0.2764,0.0414,0.1693,0.2058
2,0.6284,0.0057,0.2382,0.0317,0.1496,0.2032,0.6538,0.0049,0.2469,0.0234,0.1724,0.2062
3,0.5249,0.0044,0.1941,0.0294,0.1086,0.1884,0.5765,0.003,0.2067,0.0329,0.1325,0.2013
4,0.4575,0.0038,0.1609,0.0245,0.0911,0.1771,0.4794,0.0044,0.153,0.0289,0.1078,0.1852
5,0.3926,0.0037,0.1258,0.0223,0.0716,0.1692,0.4313,0.0037,0.1589,0.0222,0.0808,0.1656
6,0.3619,0.0034,0.119,0.0183,0.0615,0.1597,0.3938,0.0049,0.1315,0.015,0.0851,0.1573
7,0.3627,0.0034,0.1232,0.0168,0.062,0.1572,0.3937,0.003,0.1465,0.0105,0.0764,0.1573
8,0.3339,0.0036,0.1115,0.0157,0.054,0.1491,0.4044,0.0043,0.1412,0.0161,0.0838,0.1591
9,0.2895,0.0029,0.0859,0.0157,0.0442,0.1408,0.3638,0.0037,0.0978,0.0209,0.0721,0.1694
10,0.2514,0.003,0.0673,0.014,0.0352,0.1319,0.2573,0.0024,0.0746,0.0145,0.0383,0.1276
